pixel_i,pixel_j,focus_values,x_list,y_list,w_list,k_fuzzy,conf,fnoc,A,B,C
2,2,"[0.94118, 0.9931, 0.9931, 0.94118, 0.85207, 0.74611, 0.64, 0.5434, 0.46006, 0.39024, 0.33256]","[0, 1, 2]","[0.94118, 0.9931, 0.9931]","[0.3215093359932773, 0.3392453320033614, 0.3392453320033614]",1.500000000000007,0.02595999999999998,0.9995900000000003,-0.02595999999999998,0.07788000000000031,0.9411799999999998
2,3,"[0.85207, 0.94118, 0.9931, 0.9931, 0.94118, 0.85207, 0.74611, 0.64, 0.5434, 0.46006, 0.39024]","[0, 1, 2, 3, 4]","[0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[0.18049921302876948, 0.19937593075500518, 0.2103744627306101, 0.2103744627306101, 0.19937593075500518]",2.482623672842615,0.02394198478221183,0.9975811367395166,-0.02394198478221183,0.11887787639031346,0.8500166216875914
2,4,"[0.74611, 0.85207, 0.94118, 0.9931, 0.9931, 0.94118, 0.85207, 0.74611, 0.64, 0.5434, 0.46006]","[1, 2, 3, 4, 5]","[0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[0.18049921302876948, 0.19937593075500518, 0.2103744627306101, 0.2103744627306101, 0.19937593075500518]",3.4826236728426165,0.02394198478221172,0.9975811367395169,-0.02394198478221172,0.16676184595473642,0.7071967605150674
2,5,"[0.64, 0.74611, 0.85207, 0.94118, 0.9931, 0.9931, 0.94118, 0.85207, 0.74611, 0.64, 0.5434]","[2, 3, 4, 5, 6]","[0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[0.18049921302876948, 0.19937593075500518, 0.2103744627306101, 0.2103744627306101, 0.19937593075500518]",4.482623672842617,0.02394198478221177,0.9975811367395164,-0.02394198478221177,0.21464581551916037,0.5164929297781177
2,6,"[0.5434, 0.64, 0.74611, 0.85207, 0.94118, 0.9931, 0.9931, 0.94118, 0.85207, 0.74611, 0.64]","[3, 4, 5, 6, 7]","[0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[0.18049921302876948, 0.19937593075500518, 0.2103744627306101, 0.2103744627306101, 0.19937593075500518]",5.482623672842614,0.023941984782211892,0.9975811367395149,-0.023941984782211892,0.26252978508358504,0.27790512947674134
2,7,"[0.46006, 0.5434, 0.64, 0.74611, 0.85207, 0.94118, 0.9931, 0.9931, 0.94118, 0.85207, 0.74611]","[4, 5, 6, 7, 8]","[0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[0.18049921302876948, 0.19937593075500518, 0.2103744627306101, 0.2103744627306101, 0.19937593075500518]",6.4826236728426245,0.023941984782211715,0.9975811367395165,-0.023941984782211715,0.3104137546480071,-0.00856664038905002
2,8,"[0.39024, 0.46006, 0.5434, 0.64, 0.74611, 0.85207, 0.94118, 0.9931, 0.9931, 0.94118, 0.85207]","[5, 6, 7, 8, 9]","[0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[0.18049921302876948, 0.19937593075500518, 0.2103744627306101, 0.2103744627306101, 0.19937593075500518]",7.482623672842623,0.023941984782211958,0.9975811367395182,-0.023941984782211958,0.35829772421243405,-0.34292237981928
2,9,"[0.33256, 0.39024, 0.46006, 0.5434, 0.64, 0.74611, 0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[6, 7, 8, 9, 10]","[0.85207, 0.94118, 0.9931, 0.9931, 0.94118]","[0.18049921302876948, 0.19937593075500518, 0.2103744627306101, 0.2103744627306101, 0.19937593075500518]",8.482623672842617,0.023941984782211514,0.9975811367395155,-0.023941984782211514,0.40618169377685015,-0.7251620888138943
2,10,"[0.28515, 0.33256, 0.39024, 0.46006, 0.5434, 0.64, 0.74611, 0.85207, 0.94118, 0.9931, 0.9931]","[8, 9, 10]","[0.94118, 0.9931, 0.9931]","[0.3215093359932773, 0.3392453320033614, 0.3392453320033614]",9.500000000000172,0.02595999999999972,0.9995900000000042,-0.02595999999999972,0.4932400000000036,-1.3433000000000554
2,11,"[0.24615, 0.28515, 0.33256, 0.39024, 0.46006, 0.5434, 0.64, 0.74611, 0.85207, 0.94118, 0.9931]","[8, 9, 10]","[0.85207, 0.94118, 0.9931]","[0.3058014965815493, 0.3377824035027904, 0.35641609991566026]",10.5,0.018594999999999882,1.0080308365824275,-0.018594999999999882,0.4052250000000049,-1.1996500000000543
