begin pst_imgsys_t (format of 2025-03-04)
N = 3510
NX = 65
NY = 54
         0 =    0    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[0=0,0]
         1 =    1    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[1=1,0]
         2 =    2    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[2=2,0]
         3 =    3    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[3=3,0]
         4 =    4    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[4=4,0]
         5 =    5    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[5=5,0]
        36 =   36    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[36=36,0] -99.902439*Z[101=36,1] -64.000000*Z[100=35,1] -64.000000*Z[102=37,1]
        37 =   37    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[37=37,0] -99.902439*Z[102=37,1] -64.000000*Z[101=36,1] -64.000000*Z[103=38,1]
        38 =   38    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[38=38,0] -99.902439*Z[103=38,1] -64.000000*Z[102=37,1] -64.000000*Z[104=39,1]
        39 =   39    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[39=39,0] -99.902439*Z[104=39,1] -64.000000*Z[103=38,1] -64.000000*Z[105=40,1]
        40 =   40    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[40=40,0] -99.902439*Z[105=40,1] -64.000000*Z[104=39,1] -64.000000*Z[106=41,1]
        41 =   41    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[41=41,0] -99.902439*Z[106=41,1] -64.000000*Z[105=40,1] -64.000000*Z[107=42,1]
        42 =   42    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[42=42,0] -99.902439*Z[107=42,1] -64.000000*Z[106=41,1] -64.000000*Z[108=43,1]
        43 =   43    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[43=43,0] -99.902439*Z[108=43,1] -64.000000*Z[107=42,1] -64.000000*Z[109=44,1]
        44 =   44    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[44=44,0] -99.902439*Z[109=44,1] -64.000000*Z[108=43,1] -64.000000*Z[110=45,1]
        45 =   45    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[45=45,0] -99.902439*Z[110=45,1] -64.000000*Z[109=44,1] -64.000000*Z[111=46,1]
        46 =   46    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[46=46,0] -99.902439*Z[111=46,1] -64.000000*Z[110=45,1] -64.000000*Z[112=47,1]
        47 =   47    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[47=47,0] -99.902439*Z[112=47,1] -64.000000*Z[111=46,1] -64.000000*Z[113=48,1]
        48 =   48    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[48=48,0] -99.902439*Z[113=48,1] -64.000000*Z[112=47,1] -64.000000*Z[114=49,1]
        49 =   49    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[49=49,0] -99.902439*Z[114=49,1] -64.000000*Z[113=48,1] -64.000000*Z[115=50,1]
